Bad Boys for Life,Will Smith\Martin Lawrence, 1 hour,
The Gentlemen,Matthew McConaughey\Charlie Hunnam\Henry Golding\Michelle Dockery\Jeremy Strong\Eddie Marsan\Colin Farrell\Hugh Grant, 1 hour,
Little,Regina Hall\Issa Rae\Marsai Martin, 1 hour,
Girls Trip,Regina Hall\Tiffany Haddish\Larenz Tate\Mike Colter\Kate Walsh\Jada Pinkett Smith\Queen Latifah, 1 hour,
Hustlers,Constance Wu\Jennifer Lopez\Julia Stiles\Keke Palmer\Lili Reinhart\Lizzo\Cardi B, 1 hour,
The Grinch,Benedict Cumberbatch\Rashida Jones\Kenan Thompson\Cameron Seely\Angela Lansbury, 1 hour,
Parasite,Song Kang-ho\Lee Sun-kyun\Cho Yeo-jeong\Choi Woo-shik\Park So-dam\Lee Jung-eun\Jang Hye-jin, 1 hour,
Friends with Benefits,Justin Timberlake\Mila Kunis\Patricia Clarkson\Jenna Elfman\Bryan Greenberg\Richard Jenkins\Woody Harrelson, 1 hour,
Baywatch,Dwayne Johnson\Zac Efron\Alexandra Daddario\Priyanka Chopra\David Hasselhoff, 1 hour,
Sonic the Hedgehog,James Marsden\Ben Schwartz\Tika Sumpter\Natasha Rothwell\Adam Pally\Neal McDonough\Jim Carrey, 1 hour,
